Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Heavy Metals,1.90,-28.0%,56344293,1.58,2.40,1.41,1.72
Ionic Solutions,4.05,-45.7%,25805866,4.04,5.10,36.09,5.52
Micro Organisms,1.94,+4.0%,72918897,2.12,2.60,5.17,3.75
Noble Gas,1.14,+4.9%,37847763,1.18,1.05,2.48,2.05
Noble Metals,4.06,+60.1%,34648765,4.52,3.09,21.68,5.89
Non-CS Crystals,4.79,-41.5%,12857053,4.57,9.71,4.01,7.24
Planktic Colonies,5.80,-43.3%,5173835,5.85,5.97,4.93,12.09
Reactive Gas,5.90,-10.6%,37691242,5.86,7.61,2.00,7.16
Suspended Plasma,2.08,+1.1%,47047750,2.17,1.73,15.55,2.13
,,,,,,,
Planetary Processed Materials (P1),,,,,,,
Bacteria,187.99,-0.5%,907872,174.33,217.75,217.15,383.80
Biofuels,280.12,-53.6%,494639,268.87,357.51,259.42,250.96
Biomass,1017.93,+47.4%,226500,1142.91,826.89,0.00,1337.93
Chiral Structures,259.09,-33.2%,177992,283.81,206.36,41.09,349.65
Electrolytes,269.51,+29.4%,89290,277.02,159.09,499.89,481.67
Industrial Fibers,1553.23,+25.5%,167518,1606.79,270.59,0.00,1863.63
Oxidizing Compound,1537.61,+36.5%,111502,1941.85,707.90,0.00,985.63
Oxygen,190.95,+41.4%,14560323,200.51,163.47,129.80,187.48
Plasmoids,158.22,-5.2%,469633,159.19,137.68,72.16,191.77
Precious Metals,496.04,-9.3%,380907,389.90,805.61,11.89,870.34
Proteins,1023.12,+95.5%,62786,1072.10,1007.65,4.00,1630.63
Reactive Metals,219.72,-23.5%,575151,170.92,268.72,345.90,225.79
Silicon,289.00,+11.4%,1135551,309.57,280.23,273.37,433.04
Toxic Metals,167.71,+13.3%,684462,182.17,124.76,156.94,219.93
Water,40.82,-10.2%,12373941,42.54,37.82,42.43,109.59
,,,,,,,
Planetary Refined Commodities (P2),,,,,,,
Biocells,9650.38,+30.8%,15327,11422.16,5123.47,977.34,14485.20
Construction Blocks,681.17,+18.9%,812872,841.26,490.13,544.61,942.10
Consumer Electronics,346.42,+1632.0%,1692181,882.68,262.88,306.61,347.76
Coolant,2237.31,+11.3%,3067568,2289.26,2039.88,1402.32,1954.10
Enriched Uranium,8174.40,+88.3%,1034531,8782.86,6610.80,4828.87,10427.86
Fertilizer,580.65,+210.0%,74524,582.19,95.60,15.89,240.85
Genetically Enhanced Livestock,9164.65,+292.8%,3682,8492.92,43162.39,1063.58,25245.34
Livestock,870.08,+0.6%,3030610,820.30,894.18,783.24,953.27
Mechanical Parts,1013.10,+146.8%,4931183,1871.94,728.37,860.26,1245.61
Microfiber Shielding,8093.17,+85.3%,7934,7606.65,13177.81,0.00,32519.65
